branch_id,reporting_month,energy_kwh,fuel_litres,water_litres,waste_kg,paper_reams,training_hours,is_anomaly
11,2023-01-01,12084.19,513.6,25221.8,187.82,96.43,47.39,1
11,2023-02-01,5272.65,207.84,10298.07,184.95,98.04,46.23,0
11,2023-03-01,5170.64,216.39,10610.46,187.03,98.66,45.6,0
11,2023-04-01,12963.61,535.76,28114.94,182.34,101.08,42.97,1
11,2023-05-01,5514.41,215.35,10881.16,181.75,97.31,43.62,0
11,2023-06-01,5159.13,221.13,10289.07,188.92,96.82,48.35,0
11,2023-07-01,4718.06,215.45,9655.22,197.54,99.5,45.04,0
11,2023-08-01,4721.93,210.29,9691.29,191.4,104.61,49.17,0
11,2023-09-01,4456.73,215.86,9683.2,193.04,97.76,44.13,0
11,2023-10-01,4162.14,212.36,9021.16,187.06,95.14,43.23,0
11,2023-11-01,4567.92,216.27,9647.16,193.89,104.15,49.22,0
11,2023-12-01,4430.2,211.24,9785.98,194.17,100.91,43.93,0
11,2024-01-01,1440.93,67.23,3145.03,195.24,97.36,43.76,1
11,2024-02-01,5066.02,203.84,10219.43,182.05,101.36,44.29,0
11,2024-03-01,5496.12,208.63,10908.64,195.88,97.29,42.11,0
11,2024-04-01,5164.89,223.2,11486.34,193.55,103.71,48.79,0
11,2024-05-01,5488.19,214.84,11345.69,198.57,98.18,42.41,0
11,2024-06-01,5065.8,220.81,11020.19,181.58,100.11,45.24,0
11,2024-07-01,4675.25,210.52,10578.67,187.62,100.19,47.87,0
11,2024-08-01,1450.45,67.17,2815.39,190.95,98.01,44.02,1
11,2024-09-01,4650.69,212.1,8820.66,188.04,101.34,47.66,0
11,2024-10-01,4351.16,215.13,9201.51,182.99,98.7,43.63,0
11,2024-11-01,4425.93,224.35,9159.1,197.04,102.98,42.79,0
11,2024-12-01,4707.41,221.67,9456.01,185.66,102.11,48.85,0
